ID,objectType,imageIndex,u0,u1,v0,v1,area,distance
110926_0005_0,Van,0,296.7998075654954,455.33032436256474,161.7727358826722,292.42591368004776,20712.51579739733,14.548232619861437
110926_0005_0,Van,1,294.9527107838734,452.30175504075606,156.0431284003184,284.6716620624241,20239.57683589659,14.72784915114046
110926_0005_0,Van,2,293.1466019702391,449.3591017273692,150.4873983431095,277.15210565982693,19786.610560949677,14.90847135106329
110926_0005_0,Van,3,291.380213180679,446.49862692700344,145.09788206525582,269.85688296398007,19352.418319986373,15.090063091004978
110926_0005_0,Van,4,290.33902281213506,444.4830936273948,146.6578206801916,269.5181423369703,18938.190121848085,15.285820813740546
110926_0005_0,Van,5,289.3220024183629,442.5229566796599,148.1712501044378,269.18893332196393,18540.02455141635,15.48161849961692
110926_0005_0,Van,6,288.0941059776619,439.4188783776183,147.12701900107203,266.4864014792757,18062.03138731351,15.665463347706345
110926_0005_0,Van,7,286.9028280492083,436.4123044176562,148.6760460118199,266.43067822324605,17605.433401889488,15.853537097935801
110926_0005_0,Van,8,285.7427039283509,433.4922816302399,151.77303309749576,267.97080615634246,17168.171899344536,16.044281117134155
110926_0005_0,Van,9,284.59237658282706,430.6221369663855,151.85734733057075,266.52909803874263,16745.488278677487,16.230272034940562
110926_0005_0,Van,10,283.49260488481355,427.8669894465682,158.08563040061802,271.2910595304992,16343.964159675927,16.426774082302785
110926_0005_0,Van,11,282.4896342670773,425.79274795127634,158.39804387353223,270.34076294937495,16041.740197843847,16.58756932345256
110926_0005_0,Van,12,281.50353978620626,423.76158959326847,158.70360702338223,269.4113122139943,15749.062239031648,16.748426085267024
110926_0005_0,Van,13,280.53391123141535,421.77216731255686,159.00254254869725,268.50202871172075,15465.516467446525,16.90934262401921
110926_0005_0,Van,14,279.5803519408926,419.8231900958305,159.29506351356602,267.6122632338512,15190.711509768036,17.070317213578793
110926_0005_0,Van,15,278.64247762279155,417.91341882513404,159.58137405299013,266.7413938224801,14924.2768125585,17.23134825032278
110926_0005_0,Van,16,278.6279882956284,415.4045269898599,152.9406068701605,259.1123493079089,14521.803437770674,17.361712559161255
110926_0005_0,Van,17,278.6695498347598,413.0163096015738,158.195590358375,263.43233316749195,14138.21540481843,17.512199224300186
110926_0005_0,Van,18,279.8835405821035,411.9241576696288,165.31290288110708,269.52805189272215,13760.63258536206,17.672552416535975
110926_0005_0,Van,19,281.0790295009409,410.84735211698836,172.04462057974533,275.50470951301605,13425.842198577635,17.83367777822758
110926_0005_0,Van,20,282.25647341691655,409.78554251681993,178.44163169401978,281.3656239653761,13125.80092241172,17.99555455374483
110926_0005_0,Van,21,287.1483854747448,410.42430241143893,176.37808379190523,278.19031107591644,12550.995673803587,18.1207306027592
110926_0005_0,Van,22,291.9541342797938,411.01320364323124,172.6885966658152,273.3041114489946,11979.189553608525,18.242672497704124
110926_0005_0,Van,23,296.6840428774804,411.5665539111857,169.05100265418824,268.50509289202773,11425.535619095715,18.365281139950007
110926_0005_0,Van,24,301.3613320681059,412.1179234773937,169.63532407938294,268.2165464455393,10918.520166236516,18.497044820704804
110926_0005_0,Van,25,305.9667017598918,412.63611995558244,170.2123860190813,267.9279512896934,10423.262496079227,18.629002084593946
110926_0005_0,Van,26,313.5661297932383,414.85242099394367,159.71162502672792,256.10530424926486,9763.35826364126,18.73757408819136
110926_0005_0,Van,27,321.0557765621682,417.02404343752613,154.10591245588947,249.47611140574026,9152.512704775261,18.857563264138314
110926_0005_0,Van,28,328.4552368868103,419.17642447560854,156.49166197469268,250.8691499240069,8562.03778840928,18.991648702915402
110926_0005_0,Van,29,334.39964848119524,422.4940016043274,157.43542627924833,250.7336320369542,8219.045083773985,19.13101873629153
110926_0005_0,Van,30,338.54744887270266,425.7278486729309,159.811578942896,252.13134413730128,8048.474039111449,19.27408974388745
110926_0005_0,Van,31,344.9867049511475,431.18754738580304,158.83435100179383,250.16707579935672,7872.957819402477,19.382077680027855
110926_0005_0,Van,32,351.8536003303345,437.0026558183379,158.40356054938954,248.82164325785905,7699.014341662356,19.486888758277107
110926_0005_0,Van,33,360.3400379977334,448.86784806577714,159.08433215340952,248.5904709600755,7923.782456200483,19.590303069684193
110926_0005_0,Van,34,368.09847940854615,459.6704383335053,157.66592602453554,246.38118440028424,8123.8299960011955,19.666632695394433
110926_0005_0,Van,35,374.7065292917062,472.3985766850331,158.5687316339106,246.7023702987569,8609.955605392513,19.711222751506714
110926_0005_0,Van,36,385.17991403064593,486.5217791400069,156.87711026213412,244.22544901061,8852.04356297481,19.769466442079317
110926_0005_0,Van,37,395.57391336248764,500.4324703897521,155.21002550881053,241.77984467505433,9077.586319883547,19.832815457421194
110926_0005_0,Van,38,408.2900917782201,515.1878700674677,156.59841231719315,242.71401765963745,9205.566887140954,19.838035181763093
110926_0005_0,Van,39,420.93328481529005,529.8323149515346,157.98465462050817,243.62467020216883,9326.114637695719,19.849688923206543
110926_0005_0,Van,40,433.5023856992535,544.3689885305641,159.36802588424106,244.51192197375076,9439.614511266052,19.867765357938747
110926_0005_0,Van,41,449.2305095957853,561.6071639283325,160.91758578086743,245.90622875933704,9550.739354183746,19.8299639122686
110926_0005_0,Van,42,464.92937633391375,578.8191622759413,162.47090779197944,247.45113344495465,9678.37970892254,19.801787384584927
110926_0005_0,Van,43,480.59554914197395,596.0082421877433,164.0271302719468,248.9835348899885,9805.047448454236,19.783276901306177
110926_0005_0,Van,44,499.8489757078946,615.4972351612683,163.292569374078,248.2048341295377,9819.955625212964,19.762470264312057
110926_0005_0,Van,45,519.0272419422248,634.9816704667729,162.56130332478466,247.41809735708273,9839.521058440409,19.75510181548217
110926_0005_0,Van,46,539.6693887859959,656.2202976794379,161.21301045735834,246.31429490374964,9918.63205022624,19.697506859423108
110926_0005_0,Van,47,560.3649503254765,677.5901089810105,159.8599794596088,245.1947115204529,10003.377504659938,19.655858061240625
110926_0005_0,Van,48,581.1094808079382,699.0963426957386,158.50273625862314,244.0596488226152,10094.591626234345,19.630256917029257
110926_0005_0,Van,49,601.8986806163889,720.7442319393908,157.14181492598223,242.90943675069082,10193.100301420225,19.62076624767409
110926_0005_0,Van,50,622.728424464585,742.5390126542931,155.777755089533,241.7444319060311,10299.718114099174,19.627409418424566
110926_0005_0,Van,51,644.4171270240333,765.685808051998,155.17077539541967,241.5418386217485,10474.104916439843,19.612871247663744
110926_0005_0,Van,52,666.242186618707,789.0989459112162,154.56229660727826,241.32700397570022,10659.630768247216,19.61593847104263
110926_0005_0,Van,53,688.2000585864,812.7875795464344,153.9525483422895,241.09985508907678,10857.466905925901,19.63660284090695
110926_0005_0,Van,54,710.2873679718513,836.7609921401802,153.34175942647434,240.8603419385269,11068.792312374217,19.67480890413638
110926_0005_0,Van,55,732.5009437411541,861.0286066326529,152.73015654107346,240.6084374832785,11294.790068424156,19.730454759519265
110926_0005_0,Van,56,754.6409729694909,886.423638065275,152.3321286529838,240.72786037072737,11649.025108856176,19.770087883607722
110926_0005_0,Van,57,776.9915014185354,912.2417656156613,151.9354348460041,240.8344670003943,12023.617585750058,19.82728585780792
110926_0005_0,Van,58,799.5507855452721,938.4988625466503,151.5402294470849,240.9280452146324,12420.265108254202,19.90189724496924
110926_0005_0,Van,59,822.3174266832644,965.211141507025,151.14665458469756,241.00841971903705,12840.681440666056,19.993727080539674
110926_0005_0,Van,60,845.2904187397228,992.3951624667623,150.75483882941896,241.07545319208353,13286.590829088533,20.102539410288554
110926_0005_0,Van,61,866.3224611517209,1016.9538396177237,150.57082764565462,241.22425975929886,13655.251441952441,20.23033848777358
110926_0005_0,Van,62,887.4855320602215,1041.8725103297154,150.38945438444966,241.36438264640933,14045.344272647928,20.371369765703562
110926_0005_0,Van,63,908.7793048340793,1067.1613678225015,150.21071716478534,241.49577772781265,14457.916211995323,20.525360499540557
110926_0005_0,Van,64,930.2037192277298,1092.830697833746,150.03460558671415,241.6184202581725,14893.999069232603,20.692021321601167
110926_0005_0,Van,65,951.7590059321602,1118.8908846893462,149.86110053273896,241.73230506901015,15354.607017832712,20.8710487335773
110926_0005_0,Van,66,971.3532361352976,1141.2626444082541,150.6867655900274,242.6768353591538,15629.978321460256,21.075055574485827
110926_0005_0,Van,67,990.9848797149407,1163.8467488814742,151.51601795509413,243.61954311306602,15921.187515633868,21.28804962062047
110926_0005_0,Van,68,1007.4302686831514,1181.291518170533,152.42983964230186,244.5174526240987,16010.467455325615,21.499493487060153
110926_0005_0,Van,69,1023.8606558042976,1198.7966054069382,153.34359865940448,245.41411951063293,16106.443995519367,21.716406757581716
110926_0005_0,Van,70,1040.2760370369003,1216.3623845831073,154.25725620970854,246.3095151272852,16209.146056173835,21.938627180155102
110926_0005_0,Van,71,1051.962365174755,1228.121625611601,153.47349783440262,245.0675431646895,16135.139285802297,22.18608752167778
110926_0005_0,Van,72,1063.5395918392742,1239.8096800895864,152.69760423352193,243.83743842713125,16065.22661642634,22.4360084373184
110926_0005_0,Van,73,1075.009292917587,1242.0,151.92947187628562,242.61904903221253,15144.316614273295,22.68830859189751
110926_0005_0,Van,74,1083.0101719329512,1242.0,153.6053345917178,243.47171986976846,14287.841144364445,22.977161586758104
110926_0005_0,Van,75,1090.8786688236269,1242.0,155.2511145949152,244.30861374806517,13458.487823262745,23.267034709557862
110926_0005_0,Van,76,1093.5256759157287,1242.0,157.16484413908609,244.86363403861012,13021.01855334035,23.623581301296106
110926_0005_0,Van,77,1096.1376772812148,1242.0,159.02169277455155,245.3988790974184,12599.177026966641,23.98013432566448
110926_0005_0,Van,78,1098.7153889488302,1242.0,160.82397740307957,245.91512719778834,12192.252302231673,24.336693526498628
110926_0005_0,Van,79,1101.259470096501,1242.0,162.57388767216833,246.4131154691522,11799.577346847673,24.693258557695604
110926_0005_0,Van,80,1103.7705287513907,1242.0,164.2734958767663,246.8935430640233,11420.52543722969,25.0498292211454
110926_0005_0,Van,81,1098.6845921172053,1239.2435736601976,165.8065771766966,246.6966933227782,11369.83234238759,25.426818794185408
110926_0005_0,Van,82,1093.8153965779377,1228.2931974483015,167.27723668826897,246.50404463683446,10654.246902901747,25.804963738878335
110926_0005_0,Van,83,1087.263867911896,1215.7800961167393,166.4478169839264,243.9166291605032,9955.999544443077,26.193101870722128
110926_0005_0,Van,84,1080.9937794637265,1203.8010466629428,165.65490651267018,241.4379731823276,9306.711317676642,26.583032030278375
110926_0005_0,Van,85,1074.9888660983609,1192.3212051271016,164.8963206282601,239.0614939164035,8701.973256369749,26.974676469052813
110926_0005_0,Van,86,1063.471891982324,1173.8576612368665,165.35501463952278,237.5974098273648,7974.532365600604,27.39202198370047
110926_0005_0,Van,87,1052.5210638734932,1156.3213547475696,165.79175807272924,236.20076990938952,7308.475908801624,27.814187838306474
110926_0005_0,Van,88,1042.098697459926,1139.6411560237145,166.2080876226681,234.86695729672417,6697.154950218176,28.240957892086648
110926_0005_0,Van,89,1032.170242594768,1123.7531273977763,166.60540047243998,233.59177706300682,6134.805610664811,28.672126457825705
