ID,objectType,imageIndex,u0,u1,v0,v1,area
110926_0020_0,car,0,351,467,190,270,9280
110926_0020_1,car,0,0,371,202,371,62699
110926_0020_2,bicycle,0,917,1005,217,314,8536
110926_0020_3,person,0,928,1006,152,276,9672
110926_0020_4,person,0,1125,1216,132,296,14924
110926_0020_5,bicycle,0,1098,1241,205,317,16016
110926_0020_6,car,0,564,595,179,204,775
110926_0020_7,car,0,496,550,157,217,3240
110926_0020_8,car,0,481,525,183,221,1672
110926_0020_9,truck,0,500,549,157,216,2891
110926_0020_10,car,0,547,579,180,204,768
110926_0020_0,car,1,0,361,203,370,60287
110926_0020_1,car,1,337,464,189,274,10795
110926_0020_2,bicycle,1,943,1060,216,328,13104
110926_0020_3,person,1,1111,1203,131,293,14904
110926_0020_4,person,1,961,1055,150,295,13630
110926_0020_5,car,1,561,595,176,204,952
110926_0020_6,car,1,498,549,158,216,2958
110926_0020_7,bicycle,1,1079,1236,192,312,18840
110926_0020_8,car,1,594,619,178,202,600
110926_0020_0,car,2,0,344,204,371,57448
110926_0020_1,car,2,327,459,190,277,11484
110926_0020_2,bicycle,2,975,1135,221,353,21120
110926_0020_3,person,2,1010,1118,145,320,18900
110926_0020_4,person,2,1098,1207,135,310,19075
110926_0020_5,car,2,497,547,157,215,2900
110926_0020_6,car,2,559,592,178,204,858
110926_0020_7,bicycle,2,1091,1232,217,321,14664
110926_0020_8,truck,2,500,549,157,215,2842
110926_0020_9,backpack,2,1163,1227,201,243,2688
110926_0020_0,car,3,0,330,207,372,54450
110926_0020_1,car,3,318,453,192,282,12150
110926_0020_2,bicycle,3,1049,1236,227,370,26741
110926_0020_3,person,3,1084,1210,137,333,24696
110926_0020_4,car,3,556,592,177,206,1044
110926_0020_5,car,3,493,547,156,216,3240
110926_0020_6,truck,3,496,548,157,216,3068
110926_0020_7,car,3,472,518,186,222,1656
110926_0020_8,car,3,544,563,174,207,627
110926_0020_0,car,4,1,310,209,372,50367
110926_0020_1,car,4,301,448,192,285,13671
110926_0020_2,car,4,555,591,179,207,1008
110926_0020_3,person,4,1075,1172,138,290,14744
110926_0020_4,bicycle,4,1106,1241,222,372,20250
110926_0020_5,car,4,490,543,155,216,3233
110926_0020_6,person,4,1170,1242,145,345,14400
110926_0020_7,truck,4,492,542,156,217,3050
110926_0020_8,car,4,541,561,173,202,580
110926_0020_0,car,5,1,293,211,370,46428
110926_0020_1,car,5,279,442,192,290,15974
110926_0020_2,person,5,1065,1163,138,289,14798
110926_0020_3,bicycle,5,1037,1191,206,319,17402
110926_0020_4,car,5,551,591,175,208,1320
110926_0020_5,car,5,495,541,156,212,2576
110926_0020_6,truck,5,495,539,156,213,2508
110926_0020_7,car,5,468,517,181,220,1911
110926_0020_0,car,6,2,276,216,370,42196
110926_0020_1,car,6,264,435,192,292,17100
110926_0020_2,person,6,1052,1149,139,279,13580
110926_0020_3,car,6,551,588,179,208,1073
110926_0020_4,truck,6,492,537,154,217,2835
110926_0020_5,bicycle,6,1034,1176,200,313,16046
110926_0020_6,car,6,492,538,155,213,2668
110926_0020_7,car,6,463,513,181,221,2000
110926_0020_0,car,7,1,252,220,371,37901
110926_0020_1,car,7,240,429,193,295,19278
110926_0020_2,person,7,1049,1135,135,283,12728
110926_0020_3,car,7,550,587,177,208,1147
110926_0020_5,car,7,459,511,184,221,1924
110926_0020_6,truck,7,491,536,152,216,2880
110926_0020_7,car,7,491,537,154,214,2760
110926_0020_0,car,8,1,222,222,369,32487
110926_0020_1,car,8,236,423,195,299,19448
110926_0020_2,person,8,1044,1131,136,282,12702
110926_0020_3,bicycle,8,1017,1160,198,306,15444
110926_0020_4,car,8,548,586,184,209,950
110926_0020_5,truck,8,487,535,153,214,2928
110926_0020_6,car,8,487,535,152,213,2928
110926_0020_7,car,8,457,510,181,222,2173
110926_0020_0,car,9,0,199,226,370,28656
110926_0020_1,car,9,225,418,193,305,21616
110926_0020_2,person,9,1038,1122,135,278,12012
110926_0020_3,bicycle,9,1013,1145,197,303,13992
110926_0020_4,car,9,547,584,180,209,1073
110926_0020_5,car,9,452,510,181,223,2436
110926_0020_6,truck,9,486,534,152,215,3024
110926_0020_7,car,9,482,535,155,217,3286
110926_0020_0,car,10,1,166,230,369,22935
110926_0020_1,car,10,209,413,192,309,23868
110926_0020_2,person,10,1030,1114,135,291,13104
110926_0020_3,bicycle,10,1019,1135,201,302,11716
110926_0020_4,car,10,544,587,175,209,1462
110926_0020_5,car,10,450,506,181,223,2352
110926_0020_6,truck,10,486,538,150,214,3328
110926_0020_7,car,10,488,543,150,214,3520
110926_0020_0,car,11,0,138,234,370,18768
110926_0020_1,car,11,193,410,194,311,25389
110926_0020_2,person,11,1022,1104,133,282,12218
110926_0020_3,bicycle,11,1009,1129,198,298,12000
110926_0020_4,car,11,449,506,179,224,2565
110926_0020_5,car,11,543,587,176,210,1496
110926_0020_6,truck,11,484,536,151,213,3224
110926_0020_7,car,11,479,537,153,215,3596
110926_0020_8,car,11,547,584,168,197,1073
110926_0020_9,bicycle,11,1070,1130,206,298,5520
110926_0020_0,car,12,176,406,193,321,29440
110926_0020_1,car,12,0,101,252,373,12221
110926_0020_2,person,12,1020,1101,134,279,11745
110926_0020_3,car,12,543,583,177,210,1320
110926_0020_4,car,12,446,504,181,226,2610
110926_0020_5,truck,12,486,537,150,214,3264
110926_0020_6,bicycle,12,1017,1124,193,297,11128
110926_0020_0,car,13,152,398,194,329,33210
110926_0020_1,car,13,542,584,179,212,1386
110926_0020_2,person,13,1017,1096,134,287,12087
110926_0020_3,car,13,445,504,182,227,2655
110926_0020_4,truck,13,484,539,150,215,3575
110926_0020_5,car,13,0,51,294,372,3978
110926_0020_6,car,13,479,536,152,215,3591
110926_0020_7,bicycle,13,1016,1106,137,298,14490
110926_0020_0,car,14,131,389,198,338,36120
110926_0020_1,car,14,540,584,182,215,1452
110926_0020_2,person,14,1010,1093,140,286,12118
110926_0020_3,truck,14,482,536,150,218,3672
110926_0020_4,car,14,443,503,177,226,2940
110926_0020_5,car,14,478,534,152,217,3640
110926_0020_6,bicycle,14,1019,1111,192,303,10212
110926_0020_0,car,15,106,385,202,345,39897
110926_0020_1,truck,15,481,539,151,221,4060
110926_0020_2,car,15,538,585,180,218,1786
110926_0020_3,person,15,1010,1086,144,273,9804
110926_0020_4,bicycle,15,1026,1101,193,293,7500
110926_0020_5,truck,15,442,521,161,228,5293
110926_0020_6,car,15,443,500,173,229,3192
110926_0020_0,car,16,78,376,202,355,45594
110926_0020_1,truck,16,481,538,152,221,3933
110926_0020_2,car,16,441,501,179,231,3120
110926_0020_3,car,16,538,585,177,217,1880
110926_0020_4,truck,16,440,521,167,229,5022
110926_0020_0,car,17,49,369,203,362,50880
110926_0020_1,car,17,535,585,183,220,1850
110926_0020_2,person,17,999,1078,137,274,10823
110926_0020_3,truck,17,478,538,152,225,4380
110926_0020_5,truck,17,439,526,161,231,6090
110926_0020_0,car,18,12,359,206,368,56214
110926_0020_1,truck,18,479,535,154,226,4032
110926_0020_2,person,18,994,1072,143,268,9750
110926_0020_3,car,18,478,533,156,225,3795
110926_0020_4,car,18,535,586,179,219,2040
110926_0020_5,car,18,435,500,182,232,3250
110926_0020_0,car,19,0,352,205,370,58080
110926_0020_1,car,19,529,585,183,223,2240
110926_0020_2,person,19,995,1072,144,287,11011
110926_0020_3,truck,19,478,531,157,224,3551
110926_0020_4,car,19,478,533,156,226,3850
110926_0020_5,car,19,436,499,176,234,3654
110926_0020_0,car,20,1,344,211,369,54194
110926_0020_1,car,20,528,584,182,225,2408
110926_0020_2,car,20,434,497,186,237,3213
110926_0020_3,truck,20,475,535,155,225,4200
110926_0020_4,person,20,985,1058,149,288,10147
110926_0020_5,bicycle,20,981,1073,213,293,7360
110926_0020_6,car,20,477,549,162,224,4464
110926_0020_0,car,21,1,338,212,370,53246
110926_0020_1,car,21,530,585,183,226,2365
110926_0020_2,truck,21,475,535,156,228,4320
110926_0020_3,car,21,430,496,187,238,3366
110926_0020_4,car,21,475,540,161,227,4290
110926_0020_5,person,21,985,1062,154,278,9548
110926_0020_0,car,22,0,328,214,371,51496
110926_0020_1,car,22,528,585,185,227,2394
110926_0020_2,truck,22,473,535,156,228,4464
110926_0020_3,person,22,983,1050,147,276,8643
110926_0020_4,car,22,427,495,188,240,3536
110926_0020_5,car,22,474,540,162,228,4356
110926_0020_0,car,23,1,320,213,371,50402
110926_0020_1,car,23,424,494,185,240,3850
110926_0020_2,car,23,527,584,181,227,2622
110926_0020_3,truck,23,472,533,155,228,4453
110926_0020_4,car,23,475,542,160,228,4556
110926_0020_0,car,24,1,311,214,369,48050
110926_0020_1,car,24,526,583,182,228,2622
