ID,objectType,imageIndex,height,width,length,distance,k_u0,k_u1,k_v0,k_v1,k_area,y_u0,y_u1,y_v0,y_v1,y_area,overlap,diff_u0,diff_u1,diff_v0,diff_v1
110926_0052_0,Car,0,1.485474,1.6046048,3.8333583,10.190489006165597,556.852599899665,705.644942901658,184.30326700357153,324.289417708715,20828.86735124839,553.0,703.0,184.0,321.0,20550.0,0.9335020134701051,3.8525998996650515,2.6449429016580552,0.30326700357153413,3.289417708715007
110926_0052_0,Car,1,1.485474,1.6046048,3.8333583,10.050941568279004,556.4518486593782,707.9836106197536,184.5366506479476,327.22108191567105,21621.223274312204,549.0,701.0,187.0,309.0,18544.0,0.7827164422388652,7.451848659378243,6.983610619753563,2.463349352052404,18.22108191567105
110926_0052_0,Car,2,1.485474,1.6046048,3.8333583,9.997017195216017,556.6435919189379,709.2652333222602,184.6706041450436,328.4521899766206,21944.181633187956,549.0,702.0,186.0,312.0,19278.0,0.7995236467829794,7.6435919189378865,7.265233322260201,1.3293958549564024,16.452189976620616
110926_0052_0,Car,3,1.485474,1.6046048,3.8333583,9.94310899437417,556.8381240037514,710.5653694870008,184.80584259374726,329.7012076472101,22274.36535295871,552.0,706.0,186.0,315.0,19866.0,0.8403125093428695,4.838124003751432,4.565369487000794,1.1941574062527422,14.701207647210083
110926_0052_0,Car,4,1.485474,1.6046048,3.8333583,9.889217242341239,557.0355060420754,711.8844229490039,184.94238454408108,330.96852831077064,22611.990202367302,555.0,705.0,186.0,318.0,19800.0,0.8536160535159538,2.03550604207544,6.88442294900392,1.0576154559189206,12.968528310770637
110926_0052_0,Car,5,1.485474,1.6046048,3.8333583,9.835342201339701,557.2358010370341,713.2228098767964,185.08024895646088,332.2545574390681,22957.280158262358,554.0,706.0,186.0,319.0,20216.0,0.8459868985122796,3.2358010370340935,7.222809876796418,0.9197510435391223,13.254557439068094
110926_0052_0,Car,6,1.485474,1.6046048,3.8333583,9.782873387104653,556.7561930434697,713.859897777784,185.15629968003913,333.4291133986645,23294.208346576914,555.0,706.0,188.0,316.0,19328.0,0.8122456921038257,1.7561930434696933,7.859897777783999,2.843700319960874,17.429113398664526
110926_0052_0,Car,7,1.485474,1.6046048,3.8333583,9.730414355576933,556.2696474285605,714.5061521532022,185.23307026649957,334.62070588725845,23638.577309707263,552.0,708.0,190.0,315.0,19500.0,0.7846298127682211,4.269647428560461,6.506152153202152,4.766929733500433,19.620705887258453
110926_0052_0,Car,8,1.485474,1.6046048,3.8333583,9.677965261929506,555.7760124309632,715.1617724190993,185.31057099226032,335.829708363984,23990.60710275084,552.0,709.0,190.0,318.0,20096.0,0.8013696633330649,3.776012430963192,6.161772419099293,4.689429007739676,17.829708363984025
110926_0052_0,Car,9,1.485474,1.6046048,3.8333583,9.625526280401687,555.2751319808716,715.8269636185405,185.38881230684748,337.05650491552024,24350.525848581347,552.0,710.0,191.0,317.0,19908.0,0.787270598796798,3.275131980871606,5.826963618540503,5.611187693152516,20.056504915520236
110926_0052_0,Car,10,1.485474,1.6046048,3.8333583,9.57309756922358,554.7668452028563,716.5019370771797,185.46780488971203,338.30149147739536,24718.570341750514,551.0,712.0,190.0,318.0,20608.0,0.7986215711638195,3.7668452028563024,4.5019370771797185,4.532195110287972,20.30149147739536
110926_0052_0,Car,11,1.485474,1.6046048,3.8333583,9.490617873775184,554.4858424283337,718.1179523960749,185.50460460505082,340.15545136770504,25305.84436407092,552.0,712.0,190.0,321.0,20960.0,0.8050392257938245,2.48584242833374,6.117952396074884,4.495395394949185,19.15545136770504
110926_0052_0,Car,12,1.485474,1.6046048,3.8333583,9.408163035129895,554.1981673751768,719.7722931222426,185.54196915145818,342.0535453887428,25914.267404783634,551.0,714.0,189.0,325.0,22168.0,0.8248081251810514,3.1981673751768085,5.772293122242559,3.4580308485418243,17.053545388742805
110926_0052_0,Car,13,1.485474,1.6046048,3.8333583,9.32573370647242,553.9035794324832,721.466339203261,185.57991163618527,343.9973686132416,26544.866286944012,552.0,715.0,190.0,328.0,22494.0,0.8292924022974524,1.903579432483184,6.466339203260986,4.4200883638147275,15.997368613241576
110926_0052_0,Car,14,1.485474,1.6046048,3.8333583,9.243330588860413,553.6018263706776,723.2015371167836,185.61844556362024,345.98859331493776,27198.73067093373,552.0,717.0,189.0,326.0,22605.0,0.8164491248400717,1.6018263706775997,6.201537116783584,3.3815544363797585,19.98859331493776
110926_0052_0,Car,15,1.485474,1.6046048,3.8333583,9.160954376985465,553.2926434217993,724.979405135454,185.65758487688274,348.02897508119156,27877.01817912202,551.0,719.0,187.0,337.0,25200.0,0.8807688821450944,2.292643421799312,5.979405135454044,1.342415123117263,11.028975081191561
110926_0052_0,Car,16,1.485474,1.6046048,3.8333583,9.07860577871081,552.9757525623759,726.8015374245147,185.69734396680946,350.1203575931037,28580.959392988734,550.0,721.0,190.0,343.0,26163.0,0.8853660603426119,2.975752562375874,5.801537424514663,4.302656033190544,7.120357593103677
110926_0052_0,Car,17,1.485474,1.6046048,3.8333583,8.996285626616238,552.6508621145936,728.6696063068574,185.73773763546217,352.26467530905893,29311.862443489896,550.0,724.0,190.0,355.0,28710.0,0.9201124504148307,2.650862114593565,4.669606306857418,4.262262364537833,2.73532469094107
110926_0052_0,Car,18,1.485474,1.6046048,3.8333583,8.913994609305202,552.3176647920502,730.585373468813,185.77878124634978,354.46396641900606,30071.12144844488,550.0,726.0,190.0,355.0,29040.0,0.9351106950934807,2.317664792050209,4.585373468813032,4.22121875365022,0.5360335809939443
110926_0052_0,Car,19,1.485474,1.6046048,3.8333583,8.831733640650294,551.975838191533,732.55068709861,185.82049056270768,356.72036966015435,30860.219846259162,550.0,727.0,189.0,352.0,28851.0,0.9149086285066796,1.9758381915329437,5.550687098609956,3.1795094372923245,4.720369660154347
110926_0052_0,Car,20,1.485474,1.6046048,3.8333583,8.749503468739386,551.6250421598975,734.5674969887298,185.86288196356304,359.0361417643363,31680.741258664606,549.0,728.0,190.0,355.0,29535.0,0.9062085986557538,2.6250421598974754,6.567496988729772,4.137118036436959,4.036141764336321
110926_0052_0,Car,21,1.485474,1.6046048,3.8333583,8.672530828338465,551.3492762911385,736.5817848928604,185.8807990692181,361.19605464973824,32474.084587331763,546.0,728.0,191.0,352.0,29302.0,0.8531721958443504,5.349276291138494,8.581784892860355,5.119200930781886,9.196054649738244
110926_0052_0,Car,22,1.485474,1.6046048,3.8333583,8.595591338332392,551.0668891683098,738.647339656783,185.8990026818444,363.40955799856584,33297.509932769644,546.0,730.0,190.0,355.0,30360.0,0.8649544565005209,5.066889168309785,8.647339656782947,4.100997318155606,8.409557998565845
110926_0052_0,Car,23,1.485474,1.6046048,3.8333583,8.518685891220752,550.7776324840795,740.7661508956118,185.91749967459702,365.6786717070815,34152.55874237229,545.0,730.0,190.0,357.0,30895.0,0.8522873407364557,5.777632484079504,10.766150895611759,4.082500325402975,8.678671707081492
110926_0052_0,Car,24,1.485474,1.6046048,3.8333583,8.441815434744377,550.4812454149287,742.9403118378208,185.93629713649045,368.00551777152293,35040.87222776191,545.0,733.0,190.0,360.0,31960.0,0.8625486028247451,5.481245414928708,9.940311837820786,4.063702863509548,8.005517771522932
110926_0052_0,Car,25,1.485474,1.6046048,3.8333583,8.364980921770114,550.1774536159583,745.1720276753102,185.95540239384584,370.39232844254786,35964.19983568285,544.0,734.0,189.0,359.0,32300.0,0.8442622543610188,6.177453615958257,11.172027675310233,3.0445976061541558,11.392328442547864
110926_0052_0,Car,26,1.485474,1.6046048,3.8333583,8.288183329044683,549.8659684041824,747.4636226309473,185.97482301592447,372.84145292515757,36924.40772332549,542.0,736.0,186.0,361.0,33950.0,0.8504607239065468,7.865968404182354,11.46362263094727,0.025176984075528708,11.841452925157569
110926_0052_0,Car,27,1.485474,1.6046048,3.8333583,8.211423761748696,549.5464862436014,749.8175448996624,185.9945667983833,375.0,37852.318199035195,543.0,737.0,190.0,361.0,33174.0,0.8225069847920513,6.546486243601407,12.81754489966238,4.005433201616711,14.0
110926_0052_0,Car,28,1.485474,1.6046048,3.8333583,8.134703203513897,549.2186866882133,752.236383061378,186.0146418380572,375.0,38367.37206229508,541.0,738.0,191.0,364.0,34081.0,0.8208047212398529,8.218686688213324,14.236383061377978,4.9853581619427985,11.0
110926_0052_0,Car,29,1.485474,1.6046048,3.8333583,8.058022861321684,548.8822327161718,754.7228650037752,186.03505645535552,375.0,38896.6634594209,542.0,740.0,191.0,363.0,34056.0,0.8201577287807407,6.882232716171757,14.722865003775155,4.964943544644484,12.0
110926_0052_0,Car,30,1.485474,1.6046048,3.8333583,7.981383801559913,548.5367679743368,757.279879772002,186.05581930148205,375.0,39440.796235068985,541.0,741.0,192.0,361.0,33800.0,0.7988868389715814,7.53676797433684,16.279879772002005,5.944180698517954,14.0
110926_0052_0,Car,31,1.485474,1.6046048,3.8333583,7.909448058378613,547.3980140724162,758.9130689317977,186.09677116376207,375.0,39955.876810411166,542.0,744.0,192.0,363.0,34542.0,0.8224024860363814,5.398014072416231,14.913068931797739,5.903228836237929,12.0
110926_0052_0,Car,32,1.485474,1.6046048,3.8333583,7.837541534385512,546.2286838651237,760.5902994643654,186.13836999015177,375.0,40484.68413361731,540.0,746.0,194.0,363.0,34814.0,0.8127954069146002,6.228683865123685,14.590299464365444,7.861630009848227,12.0
110926_0052_0,Car,33,1.485474,1.6046048,3.8333583,7.765665035895723,545.0275289925607,762.3133773316703,186.18063123706935,375.0,41027.77672450854,535.0,748.0,194.0,365.0,36423.0,0.812032646354624,10.027528992560747,14.313377331670267,7.819368762930651,10.0
110926_0052_0,Car,34,1.485474,1.6046048,3.8333583,7.693819420626079,543.7932325732905,764.0842080694212,186.2235708443383,375.0,41585.74372937691,534.0,754.0,195.0,364.0,37180.0,0.8215607404803973,9.793232573290538,10.084208069421152,8.776429155661702,11.0
110926_0052_0,Car,35,1.485474,1.6046048,3.8333583,7.622005550883884,542.5244035749788,765.9048049833855,186.267205283717,375.0,42159.20744265371,533.0,754.0,193.0,363.0,37570.0,0.821201493972614,9.524403574978805,11.904804983385475,6.732794716282996,12.0
110926_0052_0,Car,36,1.485474,1.6046048,3.8333583,7.550224311123312,541.2195718167737,767.7772964526998,186.311551571261,375.0,42748.82554109839,533.0,756.0,193.0,363.0,37910.0,0.8270861789012831,8.219571816773737,11.77729645269983,6.688448428739008,12.0
110926_0052_0,Car,37,1.485474,1.6046048,3.8333583,7.478476705707144,539.8771840849549,769.7039316492942,186.35662722904038,375.0,43355.292813516884,528.0,758.0,194.0,367.0,39790.0,0.8309889718160854,11.877184084954933,11.70393164929419,7.6433727709596155,8.0
110926_0052_0,Car,38,1.485474,1.6046048,3.8333583,7.4067636252875655,538.4955935939988,771.6870958239399,186.4024504553392,375.0,43979.345895205195,526.0,762.0,194.0,367.0,40828.0,0.838000742556464,12.49559359399882,9.687095823939899,7.597549544660808,8.0
110926_0052_0,Car,39,1.485474,1.6046048,3.8333583,7.335086169230202,537.0730592927192,773.7293114804651,186.44903994691907,375.0,44621.76355256351,523.0,764.0,194.0,368.0,41934.0,0.8388546525966762,14.073059292719222,9.729311480465071,7.550960053080928,7.0
110926_0052_0,Car,40,1.485474,1.6046048,3.8333583,7.263445305474304,535.6077319379169,775.833258563594,186.4964151431584,375.0,45283.37294306277,529.0,768.0,194.0,368.0,41586.0,0.8708494308161889,6.607731937916924,7.833258563593972,7.503584856841599,7.0
110926_0052_0,Car,41,1.485474,1.6046048,3.8333583,7.170883813772573,533.9847435922726,779.0512917587495,186.93367837038517,375.0,46088.76426813614,529.0,770.0,195.0,369.0,41934.0,0.874575319766792,4.984743592272594,9.051291758749471,8.066321629614833,6.0
110926_0052_0,Car,42,1.485474,1.6046048,3.8333583,7.078419989837363,532.2952426613433,782.4019375858131,187.38081467149235,375.0,46924.814346934625,525.0,770.0,195.0,367.0,42140.0,0.8486002703381876,7.295242661343309,12.40193758581313,7.619185328507655,8.0
110926_0052_0,Car,43,1.485474,1.6046048,3.8333583,6.986057704831288,530.5350547659272,785.8935660890332,187.83816228986626,375.0,47793.36825415653,527.0,772.0,192.0,368.0,43120.0,0.877772554239795,3.535054765927157,13.893566089033243,4.161837710133739,7.0
110926_0052_0,Car,44,1.485474,1.6046048,3.8333583,6.893801060882263,528.6996493053987,789.5352657257076,188.3060749569,375.0,48696.42502054394,525.0,781.0,192.0,369.0,45312.0,0.9048838754209956,3.6996493053986796,8.535265725707632,3.693925043099995,6.0
110926_0052_0,Car,45,1.485474,1.6046048,3.8333583,6.8016543423600835,526.7840993192017,793.336924739438,188.78492311351502,375.0,49636.15487993912,522.0,782.0,193.0,368.0,45500.0,0.8848781172845755,4.784099319201687,11.336924739438018,4.2150768864849795,7.0
110926_0052_0,Car,46,1.485474,1.6046048,3.8333583,6.761818326218197,525.8485008677012,794.9129998455952,188.79146266725286,375.0,50102.10680284208,522.0,783.0,192.0,368.0,45936.0,0.8912792502843182,3.8485008677012047,11.912999845595209,3.2085373327471416,7.0
110926_0052_0,Car,47,1.485474,1.6046048,3.8333583,6.721996227331223,524.8951534582048,796.5191133761803,188.79806795974517,375.0,50576.90612515176,518.0,786.0,192.0,367.0,46900.0,0.8823910508846086,6.895153458204845,10.519113376180258,3.2019320402548317,8.0
110926_0052_0,Car,48,1.485474,1.6046048,3.8333583,6.682188291550906,523.9235471021273,798.1561324849563,188.8047399876215,375.0,51060.80753922264,521.0,789.0,190.0,367.0,47436.0,0.9096568627124569,2.9235471021272588,9.156132484956288,1.1952600123784975,8.0
110926_0052_0,Car,49,1.485474,1.6046048,3.8333583,6.642394782465615,522.9331523816567,799.8249575253122,188.8114797657407,375.0,51554.0754646901,520.0,791.0,190.0,367.0,47967.0,0.9111748932355297,2.9331523816566687,8.824957525312243,1.1885202342593004,8.0
110926_0052_0,Car,50,1.485474,1.6046048,3.8333583,6.602615954881251,521.9234188321342,801.5265248062738,188.81828833219342,375.0,52056.98485790042,522.0,791.0,191.0,367.0,47344.0,0.9094648898555032,0.07658116786581104,10.526524806273756,2.1817116678065815,8.0
110926_0052_0,Car,51,1.485474,1.6046048,3.8333583,6.590478181816862,521.7612738780584,802.2522466894802,188.96060958187533,375.0,52182.369599623686,522.0,791.0,193.0,367.0,46806.0,0.8969696155832972,0.23872612194156773,11.252246689480216,4.039390418124668,8.0
110926_0052_0,Car,52,1.485474,1.6046048,3.8333583,6.578344730885345,521.5982840981933,802.9826064979133,189.1034199135083,375.0,52308.38322406274,523.0,791.0,192.0,366.0,46632.0,0.8914823423284185,1.4017159018067105,11.982606497913252,2.8965800864916957,9.0
110926_0052_0,Car,53,1.485474,1.6046048,3.8333583,6.566215626046795,521.4344422643029,803.7176497216086,189.2467219090108,375.0,52435.0311352333,523.0,791.0,194.0,366.0,46096.0,0.8791069443844798,1.565557735697098,12.717649721608609,4.753278090989198,9.0
110926_0052_0,Car,54,1.485474,1.6046048,3.8333583,6.554090891430061,521.2697410633534,804.4574224454288,189.39051816846222,375.0,52562.318802401634,523.0,792.0,193.0,366.0,46537.0,0.8853680937278908,1.7302589366465781,12.457422445428847,3.609481831537778,9.0
110926_0052_0,Car,55,1.485474,1.6046048,3.8333583,6.557255024340338,521.8328886070789,804.8467221990554,189.48726809287655,375.0,52502.66943715559,524.0,791.0,190.0,367.0,47259.0,0.9001256604022365,2.1671113929211288,13.84672219905542,0.5127319071234524,8.0
110926_0052_0,Car,56,1.485474,1.6046048,3.8333583,6.56042188383415,522.3952211442559,805.2354689128787,189.58396839288625,375.0,52443.11632003085,522.0,790.0,192.0,366.0,46632.0,0.8867179629718741,0.3952211442558564,15.235468912878673,2.4160316071137515,9.0
110926_0052_0,Car,57,1.485474,1.6046048,3.8333583,6.56359146568135,522.956740313785,805.6236632276094,189.6806191440594,375.0,52383.65914284384,523.0,791.0,192.0,366.0,46632.0,0.8902012719814061,0.04325968621503762,14.623663227609427,2.319380855940608,9.0
110926_0052_0,Car,58,1.485474,1.6046048,3.8333583,6.566763766790044,523.5174479512283,806.0113059222028,189.7772204563639,375.0,52324.297577389065,523.0,790.0,194.0,366.0,45924.0,0.8744917827119194,0.5174479512282915,16.011305922202837,4.222779543636108,9.0
110926_0052_0,Car,59,1.485474,1.6046048,3.8333583,6.5699387815195776,524.0773454370764,806.3983974632793,189.87377236188655,375.0,52265.03134443451,523.0,790.0,194.0,366.0,45924.0,0.8720382204317799,1.0773454370763602,16.398397463279252,4.126227638113448,9.0
110926_0052_0,Car,60,1.485474,1.6046048,3.8333583,6.5731165082069705,524.6364348488735,806.7849388016423,189.97027501342558,375.0,52205.86009175422,522.0,790.0,196.0,366.0,45560.0,0.8567584570397874,2.6364348488734777,16.784938801642284,6.029724986574422,9.0
110926_0052_0,Car,61,1.485474,1.6046048,3.8333583,6.569873188750147,524.3327806531922,806.6860141328264,189.89220935077952,375.0,52265.78323207858,523.0,790.0,198.0,367.0,45123.0,0.855341682531979,1.3327806531922306,16.686014132826358,8.107790649220476,8.0
110926_0052_0,Car,62,1.485474,1.6046048,3.8333583,6.566630117169357,524.0286814451638,806.5869438863099,189.81408429034752,375.0,52325.810571491944,523.0,789.0,196.0,366.0,45220.0,0.8579911469422354,1.0286814451637838,17.586943886309882,6.185915709652477,9.0
110926_0052_0,Car,63,1.485474,1.6046048,3.8333583,6.563387293590435,523.7241362231013,806.4877277332045,189.73589975847668,375.0,52385.94236218091,522.0,789.0,197.0,366.0,45123.0,0.8510611359979044,1.7241362231012545,17.48772773320445,7.264100241523323,9.0
110926_0052_0,Car,64,1.485474,1.6046048,3.8333583,6.5601447191063205,523.4191440732722,806.388365373266,189.65765570472027,375.0,52446.178839150656,522.0,789.0,197.0,366.0,45123.0,0.8518990351378124,1.4191440732721503,17.38836537326597,7.34234429527973,9.0
110926_0052_0,Car,65,1.485474,1.6046048,3.8333583,6.55690239360261,523.1137039655908,806.2888564683319,189.5793520493999,375.0,52506.52026056825,522.0,789.0,196.0,366.0,45390.0,0.8577652771868296,1.1137039655908438,17.288856468331915,6.420647950600113,9.0
