ID,objectType,imageIndex,u0,u1,v0,v1,area
110926_0013_0,car,0,892,1239,205,367,56214
110926_0013_1,car,0,325,349,172,192,480
110926_0013_2,car,0,1220,1242,188,206,396
110926_0013_3,car,0,288,322,163,191,952
110926_0013_0,car,1,880,1240,205,366,57960
110926_0013_0,car,2,866,1239,202,369,62291
110926_0013_0,car,3,855,1238,202,370,64344
110926_0013_1,car,3,270,330,163,195,1920
110926_0013_2,car,3,304,335,172,194,682
110926_0013_0,car,4,842,1239,199,371,68284
110926_0013_1,car,4,262,326,163,195,2048
110926_0013_0,car,5,834,1238,198,371,69892
110926_0013_1,car,5,255,325,162,198,2520
110926_0013_0,car,6,825,1240,199,371,71380
110926_0013_1,car,6,243,319,158,199,3116
110926_0013_0,car,7,814,1235,198,371,72833
110926_0013_1,car,7,237,302,163,202,2535
110926_0013_0,car,8,812,1209,194,372,70666
110926_0013_1,car,8,227,294,164,201,2479
110926_0013_0,car,9,798,1159,197,367,61370
110926_0013_0,car,10,793,1125,194,361,55444
110926_0013_0,car,11,786,1099,191,353,50706
110926_0013_1,car,11,191,282,162,200,3458
110926_0013_2,car,11,242,285,168,198,1290
110926_0013_0,car,12,780,1075,192,345,45135
110926_0013_1,car,12,203,275,162,199,2664
110926_0013_2,car,12,240,278,172,199,1026
110926_0013_3,car,12,195,254,173,202,1711
110926_0013_0,car,13,773,1051,192,335,39754
110926_0013_1,car,13,209,271,165,202,2294
110926_0013_2,car,13,173,251,170,205,2730
110926_0013_0,car,14,766,1032,189,328,36974
110926_0013_1,car,14,156,258,176,210,3468
110926_0013_2,car,14,192,267,166,205,2925
110926_0013_0,car,15,761,1014,190,324,33902
110926_0013_1,car,15,145,225,180,215,2800
110926_0013_2,car,15,201,261,171,208,2220
110926_0013_0,car,16,759,994,188,317,30315
110926_0013_1,car,16,131,245,178,215,4218
110926_0013_2,car,16,185,254,168,205,2553
110926_0013_0,car,17,759,979,186,308,26840
110926_0013_1,car,17,181,242,174,208,2074
110926_0013_2,car,17,117,195,181,214,2574
110926_0013_0,car,18,753,966,186,307,25773
110926_0013_1,car,18,172,235,173,208,2205
110926_0013_2,car,18,97,195,179,216,3626
110926_0013_0,car,19,752,952,188,300,22400
110926_0013_1,car,19,75,222,179,219,5880
110926_0013_2,car,19,158,225,173,210,2479
110926_0013_0,car,20,748,939,185,297,21392
110926_0013_1,car,20,143,208,172,212,2600
110926_0013_2,car,20,58,168,185,221,3960
110926_0013_0,car,21,742,925,186,292,19398
110926_0013_1,car,21,128,195,173,218,3015
110926_0013_2,car,21,32,162,184,225,5330
110926_0013_0,car,22,738,914,185,290,18480
110926_0013_1,car,22,109,187,180,219,3042
110926_0013_2,car,22,5,172,185,227,7014
110926_0013_0,car,23,733,904,188,286,16758
110926_0013_1,car,23,87,164,181,221,3080
110926_0013_2,car,23,0,89,184,231,4183
110926_0013_3,car,23,1156,1241,295,369,6290
110926_0013_0,car,24,727,891,185,281,15744
110926_0013_1,car,24,0,83,177,230,4399
110926_0013_2,car,24,1124,1241,280,372,10764
110926_0013_3,car,24,65,104,183,217,1326
110926_0013_4,car,24,144,221,161,201,3080
110926_0013_0,car,25,723,880,186,277,14287
110926_0013_1,car,25,1093,1241,245,370,18500
110926_0013_2,car,25,73,134,178,218,2440
110926_0013_3,car,25,87,212,157,200,5375
110926_0013_4,car,25,82,152,161,211,3500
110926_0013_0,car,26,720,870,186,273,13050
110926_0013_1,car,26,1064,1241,222,369,26019
110926_0013_2,car,26,9,116,179,222,4601
110926_0013_3,car,26,74,170,159,198,3744
110926_0013_4,car,26,123,211,160,198,3344
110926_0013_0,car,27,715,862,183,270,12789
110926_0013_1,car,27,1037,1241,202,370,34272
110926_0013_2,car,27,0,93,182,226,4092
110926_0013_3,car,27,62,139,161,200,3003
110926_0013_0,car,28,711,849,186,269,11454
110926_0013_1,car,28,1013,1240,193,371,40406
110926_0013_2,car,28,0,70,184,229,3150
110926_0013_3,car,28,1,38,160,182,814
110926_0013_0,car,29,706,838,187,267,10560
110926_0013_1,car,29,988,1238,188,372,46000
110926_0013_2,car,29,0,43,179,230,2193
110926_0013_0,car,30,961,1239,181,371,52820
110926_0013_1,car,30,702,828,186,263,9702
110926_0013_0,car,31,942,1240,182,370,56024
110926_0013_1,car,31,696,816,186,261,9000
110926_0013_2,bus,31,673,766,142,198,5208
110926_0013_3,person,31,1208,1242,203,280,2618
110926_0013_4,truck,31,673,766,137,195,5394
110926_0013_0,car,32,922,1239,179,371,60864
110926_0013_1,car,32,689,807,184,258,8732
110926_0013_2,truck,32,669,766,135,196,5917
110926_0013_0,car,33,682,797,182,254,8280
110926_0013_1,car,33,907,1234,181,370,61803
110926_0013_0,car,34,675,785,181,253,7920
110926_0013_1,car,34,883,1240,175,370,69615
110926_0013_0,car,35,669,775,180,251,7526
110926_0013_1,car,35,863,1242,172,372,75800
110926_0013_0,car,36,662,765,180,248,7004
110926_0013_1,car,36,845,1242,172,372,79400
