ID,objectType,imageIndex,height,width,length,distance,k_u0,k_u1,k_v0,k_v1,k_area,y_u0,y_u1,y_v0,y_v1,y_area,overlap,diff_u0,diff_u1,diff_v0,diff_v1
110926_0023_0,Car,0,1.3590999,1.5575616,3.5303075,14.29374355414168,0.0,182.64424979463652,208.02190037723747,317.70173676241484,20032.3914341692,1.0,198.0,201.0,278.0,15169.0,0.7448249995326123,1.0,10.675677847082056,2.3083286836559296,18.28741402443717
110926_0023_0,Car,1,1.3590999,1.5575616,3.5303075,13.901199234747002,0.0,186.0066703558887,208.6063794383983,321.553826769142,21008.978603188745,5.0,192.0,212.0,286.0,13838.0,0.6403722126769752,5.0,23.530473113298484,12.773214717310395,13.487816110419374
110926_0023_0,Car,2,1.3590999,1.5575616,3.5303075,13.508843402889957,0.0,189.51340359920897,209.2287148494876,325.6354825406734,22060.642747139056,3.0,195.0,213.0,299.0,16512.0,0.7235980589655471,3.0,27.90240555863781,14.392252799603597,1.9812424637717072
110926_0023_0,Car,3,1.3590999,1.5575616,3.5303075,13.116693008151797,0.0,193.17866315185987,209.8925836354639,329.96817938498884,23196.043064056375,2.0,190.0,213.0,304.0,17108.0,0.6902070931971693,2.0,40.5864137567514,15.039824973140213,1.4596474489082425
110926_0023_0,Car,4,1.3590999,1.5575616,3.5303075,12.701351090208798,0.0,190.47561020417476,206.08414989550997,330.07233019423495,23616.72430050488,1.0,182.0,209.0,301.0,16652.0,0.6609682629616797,1.0,49.839632577386794,15.804254143896799,0.8970544576032466
110926_0023_0,Car,5,1.3590999,1.5575616,3.5303075,12.286771870531227,0.0,187.51440052740762,201.97191132950178,330.1802470558133,24040.909216335924,1.0,180.0,198.0,302.0,18616.0,0.6771113548745444,1.0,53.13317511840816,9.872260124083681,4.499275039052463
110926_0023_0,Car,6,1.3590999,1.5575616,3.5303075,11.8730352813726,0.0,184.26244549478594,197.51752040719728,330.2925586421689,24465.453245839577,1.0,174.0,196.0,306.0,19030.0,0.6053760695746772,1.0,60.47106636100568,13.274327753656763,11.282759693411094
110926_0023_0,Car,7,1.3590999,1.5575616,3.5303075,11.485115299681866,0.0,170.74764026408533,199.20267568514836,339.9493271452789,24032.15861188897,0.0,162.0,203.0,317.0,18468.0,0.5487256350828161,0.0,64.86163180543653,18.73903285970198,15.378752031097633
110926_0023_0,Car,8,1.3590999,1.5575616,3.5303075,11.10185848142213,0.0,155.8071664507334,201.06322203799817,350.7764057552627,23326.386935305065,0.0,148.0,207.0,328.0,17908.0,0.5085727657919971,0.0,70.63706315665499,21.080400364207065,18.823620969349406
110926_0023_0,Car,9,1.3590999,1.5575616,3.5303075,10.72376478092321,0.0,139.20580097964023,203.1280471071246,363.00029929099077,22255.14491967413,0.0,127.0,209.0,339.0,16510.0,0.460043863688265,0.0,82.71998410811037,21.28293904696602,21.520702913696937
110926_0023_0,Car,10,1.3590999,1.5575616,3.5303075,10.351400062378543,0.0,120.65358319329674,205.43274900112857,375.0,20458.896425250965,0.0,108.0,216.0,340.0,13392.0,0.4143519563214404,0.0,92.0194769524588,26.328450796697467,13.3532069999535
110926_0023_0,Car,11,1.3590999,1.5575616,3.5303075,9.985405199902987,0.0,99.78889377159469,208.02170678688103,375.0,16662.57916360612,0.0,79.0,220.0,345.0,9875.0,0.5926453463800289,0.0,20.788893771594687,11.978293213118974,30.0
110926_0023_1,Car,0,1.531311,1.6277885,3.3962817,16.60068437072783,0.0,208.67567784708206,198.69167131634407,296.28741402443717,20365.857764600743,1.0,198.0,201.0,278.0,15169.0,0.7448249995326123,1.0,10.675677847082056,2.3083286836559296,18.28741402443717
110926_0023_1,Car,1,1.531311,1.6277885,3.3962817,16.13804953976884,0.0,215.53047311329848,199.2267852826896,299.4878161104194,21609.307409127603,5.0,192.0,212.0,286.0,13838.0,0.6403722126769752,5.0,23.530473113298484,12.773214717310395,13.487816110419374
110926_0023_1,Car,2,1.531311,1.6277885,3.3962817,15.73480667376414,0.0,222.9024055586378,198.6077472003964,300.9812424637717,22819.29835965217,3.0,195.0,213.0,299.0,16512.0,0.7235980589655471,3.0,27.90240555863781,14.392252799603597,1.9812424637717072
