Frame u v idNr ID Vertex
960 457.44 384.97 3839 24 3
961 350.36 372.4 3843 24 0
961 554.12 361.56 3843 24 2
961 466.98 382.37 3843 24 3
962 372.04 371.1 3847 24 0
962 563.66 358.53 3847 24 2
962 480.42 379.77 3847 24 3
964 383.31 368.93 3855 24 0
964 572.76 356.79 3855 24 2
964 487.79 377.17 3855 24 3
965 393.28 367.2 3859 24 0
965 579.7 355.06 3859 24 2
965 501.23 375.43 3859 24 3
966 401.52 365.03 3863 24 0
966 586.2 353.32 3863 24 2
966 509.47 373.27 3863 24 3
968 416.69 362.43 3871 24 0
968 595.74 348.12 3871 24 2
968 519.44 371.1 3871 24 3
969 425.79 361.56 3875 24 0
969 604.84 352.89 3875 24 2
969 529.84 369.8 3875 24 3
970 433.6 360.69 3880 24 0
970 610.48 351.59 3880 24 2
970 535.48 368.5 3880 24 3
971 440.1 359.83 3884 24 0
971 613.08 350.72 3884 24 2
971 538.08 365.9 3884 24 3
972 444.87 358.53 3888 24 0
972 619.58 350.29 3888 24 2
972 544.58 366.76 3888 24 3
973 451.37 356.79 3892 24 0
973 626.52 348.99 3892 24 2
973 548.48 366.33 3892 24 3
974 465.25 356.79 3896 24 0
974 633.45 348.99 3896 24 2
974 554.12 362.43 3896 24 3
976 470.88 355.92 3904 24 0
976 636.49 348.55 3904 24 2
976 558.89 361.56 3904 24 3
977 475.65 355.06 3908 24 0
977 639.09 348.55 3908 24 2
977 561.05 361.56 3908 24 3
978 491.69 352.46 3912 24 0
978 657.73 346.39 3912 24 2
978 578.4 359.83 3912 24 3
980 500.36 351.16 3920 24 0
980 662.07 345.52 3920 24 2
980 587.07 358.96 3920 24 3
981 504.26 351.59 3924 24 0
981 663.8 345.52 3924 24 2
981 585.77 358.96 3924 24 3
982 512.93 347.25 3927 24 0
982 673.71 343.26 3927 24 2
982 589.22 352.2 3927 24 3
983 517.91 349.33 3931 24 0
983 676.61 342.84 3931 24 2
983 592.54 353.44 3931 24 3
984 527.44 348.08 3935 24 0
984 684.9 343.26 3935 24 2
984 603.72 353.44 3935 24 3
986 534.48 347.67 3943 24 0
986 689.87 343.26 3943 24 2
986 607.45 353.44 3943 24 3
987 539.87 348.08 3947 24 0
987 690.29 343.67 3947 24 2
987 614.08 352.61 3947 24 3
988 553.96 346.01 3951 24 0
988 704.38 341.18 3951 24 2
988 629.42 350.12 3951 24 3
989 560.59 347.25 3955 24 0
989 705.62 342.01 3955 24 2
989 627.76 350.12 3955 24 3
991 564.31 346.01 3963 24 0
991 711.42 342.01 3963 24 2
991 631.49 348.88 3963 24 3
992 566.8 346.01 3967 24 0
992 719.29 342.01 3967 24 2
992 633.97 348.88 3967 24 3
993 578.4 344.77 3971 24 0
993 725.1 340.36 3971 24 2
993 645.99 346.81 3971 24 3
996 31.03 450.85 3984 36 0
996 398.16 401.27 3984 36 2
996 210.91 471.95 3984 36 3
997 67.91 442.97 3988 36 0
997 411.84 397.54 3988 36 2
997 242.4 464.49 3988 36 3
998 115.56 428.47 3992 36 0
998 428.82 392.57 3992 36 2
998 282.18 449.16 3992 36 3
1000 132.55 426.4 4000 36 0
1000 437.11 388.84 4000 36 2
1000 290.47 443.36 4000 36 3
1001 144.56 421.01 4004 36 0
1001 319.94 377.44 4004 36 2
1001 442.91 387.59 4004 36 2
1001 302.48 437.97 4004 36 3
1002 170.25 412.31 4008 36 0
1002 453.69 383.86 4008 36 2
1002 327.34 429.68 4008 36 3
1003 184.76 411.07 4012 36 0
1003 458.24 383.04 4012 36 2
1003 335.22 427.2 4012 36 3
1004 197.19 409.41 4016 36 0
1004 465.7 380.55 4016 36 2
1004 340.19 424.3 4016 36 3
1005 209.62 406.09 4020 36 0
1005 469.02 380.14 4020 36 2
1005 352.62 420.98 4020 36 3
1006 228.51 399.88 4024 36 0
1006 481.03 375.16 4024 36 2
1006 372.1 415.18 4024 36 3
1008 248.98 395.73 4031 36 0
1008 493.05 374.75 4031 36 2
1008 386.18 411.04 4031 36 3
1009 270.12 395.32 4035 36 0
1009 502.58 371.43 4035 36 2
1009 399.03 405.23 4035 36 3
1010 279.65 392.01 4039 36 0
1010 505.48 371.02 4039 36 2
1010 403.59 403.16 4039 36 3
1011 288.35 390.35 4043 36 0
1011 513.36 369.78 4043 36 2
1011 412.29 401.5 4043 36 3
1012 297.46 389.11 4047 36 0
1012 517.91 368.53 4047 36 2
1012 418.92 399.43 4047 36 3
