Frame u v idNr ID Vertex
0 97.53 407.68 0 8 0
0 302.9 368.76 0 8 1
0 429.14 386.4 0 8 2
0 218.62 433.96 0 8 3
0 642.51 345.7 0 5 3
0 564.93 339.72 0 5 0
0 655.11 332.71 0 5 1
0 723.75 339.58 0 5 2
2 285.51 419.86 8 8 0
2 160.17 401.23 8 8 1
2 343.45 365.71 8 8 2
2 453.97 380.8 8 8 3
4 311.86 415.18 16 8 0
4 178.02 398.68 16 8 1
4 350.25 364.01 16 8 2
4 466.72 378.67 16 8 3
5 322.9 412.21 20 8 3
5 200.54 395.28 20 8 0
5 360.02 362.31 20 8 1
5 466.29 376.12 20 8 2
6 474.79 377.4 24 8 3
6 330.55 408.38 24 8 0
6 212.87 395.28 24 8 1
6 373.2 370.81 24 8 2
7 386.37 364.44 27 8 1
7 481.59 374.85 27 8 2
7 334.8 408.81 27 8 3
7 217.97 389.76 27 8 0
8 243.04 389.76 31 8 0
8 399.54 364.44 31 8 1
8 493.91 374.0 31 8 2
8 363.7 402.86 31 8 3
9 254.51 387.63 35 8 0
9 406.77 361.89 35 8 1
9 502.41 372.73 35 8 2
9 351.8 403.71 35 8 3
10 271.51 386.36 39 8 0
10 411.44 360.19 39 8 1
10 503.68 371.03 39 8 2
10 364.12 400.73 39 8 3
11 287.65 384.66 43 8 0
11 423.76 359.76 43 8 1
11 516.43 369.33 43 8 2
11 384.52 396.49 43 8 3
12 314.42 378.71 47 8 0
12 443.73 355.94 47 8 1
12 527.48 366.78 47 8 2
12 416.81 390.54 47 8 3
14 328.87 375.73 55 8 0
14 456.48 356.79 55 8 1
14 543.2 363.8 55 8 2
14 434.66 388.41 55 8 3
15 337.8 375.73 59 8 0
15 455.21 358.06 59 8 1
15 544.9 365.08 59 8 2
15 445.28 385.86 59 8 3
16 343.6 373.66 63 8 0
16 465.15 355.16 63 8 1
16 555.68 364.25 63 8 2
16 452.74 385.45 63 8 3
18 362.24 369.93 71 8 0
18 481.73 352.26 71 8 1
18 567.69 361.76 71 8 2
18 466.83 380.89 71 8 3
19 377.57 369.1 76 8 0
19 492.91 350.19 76 8 1
19 575.98 359.28 76 8 2
19 481.33 378.82 76 8 3
20 388.76 367.86 80 8 0
20 502.03 350.6 80 8 1
20 581.37 358.03 80 8 2
20 489.21 376.75 80 8 3
21 395.81 366.2 84 8 0
21 509.49 349.78 84 8 1
21 584.68 357.2 84 8 2
21 497.49 375.5 84 8 3
22 406.17 365.79 88 8 0
22 511.15 348.53 88 8 1
22 585.93 357.2 88 8 2
22 499.98 374.26 88 8 3
24 424.4 362.06 96 8 0
24 528.55 344.39 96 8 1
24 601.26 354.72 96 8 2
24 518.21 371.77 96 8 3
25 432.27 362.47 100 8 0
25 535.59 346.46 100 8 1
25 607.06 355.55 100 8 2
25 527.33 369.7 100 8 3
27 438.49 361.64 108 8 0
27 539.74 346.88 108 8 1
27 611.62 354.72 108 8 2
27 533.54 368.87 108 8 3
28 456.3 359.16 112 8 0
28 557.56 344.39 112 8 1
28 629.43 352.23 112 8 2
28 549.29 367.63 112 8 3
29 461.28 358.33 116 8 0
29 562.53 343.56 116 8 1
29 634.41 351.4 116 8 2
29 554.26 366.39 116 8 3
30 466.25 359.57 120 8 0
30 565.84 344.39 120 8 1
30 641.45 350.99 120 8 2
30 560.48 365.97 120 8 3
31 472.88 357.92 124 8 0
31 577.45 343.56 124 8 1
31 648.08 350.57 124 8 2
31 561.72 365.56 124 8 3
32 479.92 356.26 127 8 0
32 576.2 343.15 127 8 1
32 649.32 350.57 127 8 2
32 563.38 364.73 127 8 3
34 497.33 352.94 135 8 0
34 594.43 340.25 135 8 1
34 667.14 347.26 135 8 2
34 575.81 360.59 135 8 3
36 506.44 352.94 143 8 0
36 605.62 339.0 143 8 1
36 673.77 346.02 143 8 2
36 589.07 360.59 143 8 3
37 510.59 352.11 147 8 0
37 606.04 341.9 147 8 1
37 679.16 346.84 147 8 2
37 591.97 359.76 147 8 3
38 520.12 351.7 151 8 0
38 611.01 339.83 151 8 1
38 681.23 346.43 151 8 2
38 596.11 360.59 151 8 3
39 525.09 349.63 155 8 0
39 613.08 336.93 155 8 1
39 684.54 345.6 155 8 2
39 604.4 356.86 155 8 3
40 46.97 439.48 2000 20 0
40 288.9 387.14 2000 20 1
40 435.95 398.1 2000 20 2
40 217.17 467.97 2000 20 3
41 46.97 435.25 2004 20 0
41 294.39 382.49 2004 20 1
41 432.15 396.42 2004 20 2
41 228.57 464.17 2004 20 3
42 50.77 440.32 2012 20 0
42 291.01 385.87 2012 20 1
42 431.73 398.1 2012 20 2
42 226.46 465.44 2012 20 3
43 71.57 437.07 2016 20 0
43 312.25 384.65 2016 20 1
43 438.23 395.68 2016 20 2
43 249.29 459.6 2016 20 3
44 73.19 437.51 2024 20 0
44 314.63 385.9 2024 20 1
44 438.86 396.06 2024 20 2
44 250.05 457.57 2024 20 3
45 78.33 435.35 2027 20 0
45 314.49 386.32 2027 20 1
45 439.75 395.23 2027 20 2
45 264.27 453.77 2027 20 3
46 89.57 434.21 2031 20 0
46 308.45 386.39 2031 20 1
46 443.09 395.27 2031 20 2
46 275.24 450.67 2031 20 3
47 89.84 431.82 2035 20 0
47 306.37 385.31 2035 20 1
47 446.6 392.89 2035 20 2
47 282.97 446.88 2035 20 3
48 97.56 428.6 2039 20 0
48 320.08 382.86 2039 20 1
48 450.56 391.17 2039 20 2
48 286.55 447.9 2039 20 3
49 107.27 427.76 2043 20 0
49 320.92 383.28 2043 20 1
49 453.09 389.9 2043 20 2
49 300.06 443.26 2043 20 3
50 112.76 425.23 2051 20 0
50 323.46 383.28 2051 20 1
50 452.25 391.17 2051 20 2
50 300.9 442.84 2051 20 3
51 126.7 421.0 2055 20 0
51 334.01 380.75 2055 20 1
51 454.78 386.94 2055 20 2
51 310.58 436.89 2055 20 3
53 131.03 421.87 2063 20 0
53 334.01 380.75 2063 20 1
53 456.08 387.81 2063 20 2
53 311.01 437.33 2063 20 3
54 138.52 422.7 2067 20 0
54 343.3 378.23 2067 20 1
54 459.43 387.38 2067 20 2
54 311.88 437.39 2067 20 3
55 153.72 416.36 2071 20 0
55 348.79 376.53 2071 20 1
55 465.76 384.41 2071 20 2
55 330.38 431.44 2071 20 3
56 162.17 414.25 2076 20 0
56 342.46 378.64 2076 20 1
56 467.45 385.68 2076 20 2
56 332.57 430.17 2076 20 3
58 166.98 412.14 2084 20 0
58 349.6 377.78 2084 20 1
