u v idNr ID vertex
97.53 407.68 0 8 0
302.9 368.76 0 8 1
429.14 386.4 0 8 2
218.62 433.96 0 8 3
564.93 339.72 0 5 0
655.11 332.71 0 5 1
723.75 339.58 0 5 2
642.51 345.7 0 5 3
97.53 407.68 4 8 0
302.9 368.76 4 8 1
429.14 386.4 4 8 2
218.62 433.96 4 8 3
564.93 339.72 4 5 0
655.11 332.71 4 5 1
723.75 339.58 4 5 2
642.51 345.7 4 5 3
160.17 401.23 8 8 0
343.45 365.71 8 8 1
453.97 380.8 8 8 2
285.51 419.86 8 8 3
584.41 338.89 8 5 0
664.64 330.23 8 5 1
737.84 336.68 8 5 2
653.28 344.45 8 5 3
160.17 401.23 12 8 0
343.45 365.71 12 8 1
453.97 380.8 12 8 2
285.51 419.86 12 8 3
586.06 337.65 12 5 0
664.64 330.23 12 5 1
733.7 337.09 12 5 2
653.28 344.45 12 5 3
178.02 398.68 16 8 0
350.25 364.01 16 8 1
466.72 378.67 16 8 2
311.86 415.18 16 8 3
593.11 338.48 16 5 0
670.44 331.06 16 5 1
745.3 336.26 16 5 2
661.99 343.62 16 5 3
200.54 395.28 20 8 0
360.02 362.31 20 8 1
466.29 376.12 20 8 2
322.9 412.21 20 8 3
596.01 336.82 20 5 0
674.59 329.4 20 5 1
745.72 335.02 20 5 2
663.23 343.62 20 5 3
212.87 395.28 24 8 0
373.2 370.81 24 8 1
474.79 377.4 24 8 2
330.55 408.38 24 8 3
603.88 336.82 24 5 0
679.56 328.16 24 5 1
748.2 335.43 24 5 2
671.52 342.8 24 5 3
217.97 389.76 28 8 0
386.37 364.44 28 8 1
481.59 374.85 28 8 2
334.8 408.81 28 8 3
605.95 336.82 28 5 0
684.53 329.4 28 5 1
758.56 335.43 28 5 2
680.22 344.04 28 5 3
243.04 389.76 32 8 0
399.54 364.44 32 8 1
493.91 374.0 32 8 2
363.7 402.86 32 8 3
616.73 337.24 32 5 0
695.3 329.81 32 5 1
769.33 335.85 32 5 2
690.99 344.45 32 5 3
254.51 387.63 36 8 0
406.77 361.89 36 8 1
502.41 372.73 36 8 2
351.8 403.71 36 8 3
622.53 335.58 36 5 0
703.18 327.74 36 5 1
775.14 334.19 36 5 2
695.13 342.38 36 5 3
271.51 386.36 40 8 0
411.44 360.19 40 8 1
503.68 371.03 40 8 2
364.12 400.73 40 8 3
624.19 336.41 40 5 0
704.84 328.57 40 5 1
776.79 335.02 40 5 2
696.79 343.21 40 5 3
287.65 384.66 44 8 0
423.76 359.76 44 8 1
516.43 369.33 44 8 2
384.52 396.49 44 8 3
633.72 336.41 44 5 0
714.37 328.57 44 5 1
786.32 335.02 44 5 2
706.32 343.21 44 5 3
314.42 378.71 48 8 0
443.73 355.94 48 8 1
527.48 366.78 48 8 2
416.81 390.54 48 8 3
645.73 334.75 48 5 0
723.07 326.08 48 5 1
795.03 333.78 48 5 2
718.34 341.55 48 5 3
314.42 378.71 52 8 0
443.73 355.94 52 8 1
527.48 366.78 52 8 2
416.81 390.54 52 8 3
645.73 334.75 52 5 0
723.07 326.08 52 5 1
795.03 333.78 52 5 2
718.34 341.55 52 5 3
328.87 375.73 56 8 0
456.48 356.79 56 8 1
543.2 363.8 56 8 2
434.66 388.41 56 8 3
659.41 335.17 56 5 0
736.74 326.5 56 5 1
808.7 334.19 56 5 2
732.01 341.97 56 5 3
337.8 375.73 60 8 0
455.21 358.06 60 8 1
544.9 365.08 60 8 2
445.28 385.86 60 8 3
666.04 335.58 60 5 0
743.37 326.91 60 5 1
815.33 334.6 60 5 2
738.64 342.38 60 5 3
343.6 373.66 64 8 0
465.15 355.16 64 8 1
555.68 364.25 64 8 2
452.74 385.45 64 8 3
344.84 373.66 68 8 0
465.15 355.16 68 8 1
554.85 364.25 68 8 2
452.74 385.45 68 8 3
362.24 369.93 72 8 0
481.73 352.26 72 8 1
567.69 361.76 72 8 2
466.83 380.89 72 8 3
377.57 369.1 76 8 0
492.91 350.19 76 8 1
575.98 359.28 76 8 2
481.33 378.82 76 8 3
388.76 367.86 80 8 0
502.03 350.6 80 8 1
581.37 358.03 80 8 2
489.21 376.75 80 8 3
395.81 366.2 84 8 0
509.49 349.78 84 8 1
584.68 357.2 84 8 2
497.49 375.5 84 8 3
406.17 365.79 88 8 0
511.15 348.53 88 8 1
585.93 357.2 88 8 2
499.98 374.26 88 8 3
406.17 365.79 92 8 0
511.15 348.53 92 8 1
585.93 357.2 92 8 2
499.98 374.26 92 8 3
424.4 362.06 96 8 0
528.55 344.39 96 8 1
601.26 354.72 96 8 2
518.21 371.77 96 8 3
432.27 362.47 100 8 0
535.59 346.46 100 8 1
607.06 355.55 100 8 2
527.33 369.7 100 8 3
432.27 362.47 103 8 0
535.59 346.46 103 8 1
607.06 355.55 103 8 2
527.33 369.7 103 8 3
438.49 361.64 107 8 0
539.74 346.88 107 8 1
611.62 354.72 107 8 2
533.54 368.87 107 8 3
